Kod;Województwo;Powiat;Gmina;Komentarz
45-001;opolskie;Opole;Opole;ca³e miasto jako 1 kszta³t
46-020;opolskie;opolski;Dobrzeñ Wielki;
46-021;opolskie;opolski;Dobrzeñ Wielki;
46-022;opolskie;opolski;Turawa;
46-023;opolskie;opolski;Turawa;
46-024;opolskie;opolski;£ubniany;
46-030;opolskie;opolski;Murów;
46-034;opolskie;namys³owski;Pokój;
46-037;opolskie;opolski;Popielów;
46-040;opolskie;opolski;Ozimek;
46-042;opolskie;opolski;Ozimek;
46-043;opolskie;opolski;Ozimek;
46-045;opolskie;opolski;Turawa;
46-046;opolskie;opolski;Turawa;
46-048;opolskie;oleski;Zêbowice;
46-050;opolskie;opolski;Tarnów Opolski;
46-053;opolskie;opolski;Chrz¹stowice;
46-060;opolskie;opolski;Prószków;
46-061;opolskie;opolski;Prószków;
46-070;opolskie;opolski;Komprachcice;
46-073;opolskie;opolski;D¹browa;
46-080;opolskie;opolski;Dobrzeñ Wielki;
46-081;opolskie;opolski;Dobrzeñ Wielki;
46-082;opolskie;opolski;Dobrzeñ Wielki;
46-083;opolskie;opolski;Popielów;
46-090;opolskie;opolski;Popielów;
46-100;opolskie;namys³owski;Namys³ów;
46-112;opolskie;namys³owski;Œwierczów;
46-113;opolskie;namys³owski;Wilków;
46-115;opolskie;namys³owski;Wilków;
46-134;opolskie;namys³owski;Namys³ów;
46-142;opolskie;namys³owski;Namys³ów;
46-146;opolskie;namys³owski;Domaszowice;
46-166;opolskie;namys³owski;Namys³ów;
46-200;opolskie;kluczborski;Kluczbork;
46-211;opolskie;kluczborski;Kluczbork;
46-220;opolskie;kluczborski;Byczyna;
46-233;opolskie;kluczborski;Kluczbork;
46-243;opolskie;kluczborski;Kluczbork;
46-250;opolskie;kluczborski;Wo³czyn;
46-255;opolskie;kluczborski;Wo³czyn;
46-262;opolskie;kluczborski;Wo³czyn;
46-264;opolskie;kluczborski;Wo³czyn;
46-275;opolskie;kluczborski;Lasowice Wielkie;
46-280;opolskie;kluczborski;Lasowice Wielkie;
46-282;opolskie;kluczborski;Lasowice Wielkie;
46-300;opolskie;oleski;Olesno;
46-310;opolskie;oleski;Gorzów Œl¹ski;
46-312;opolskie;oleski;Olesno;
46-320;opolskie;oleski;Praszka;
46-324;opolskie;oleski;Rad³ów;
46-325;opolskie;oleski;Rudniki;
46-331;opolskie;oleski;Rad³ów;
46-333;opolskie;oleski;Rad³ów;
46-375;opolskie;oleski;Dobrodzieñ;
46-380;opolskie;oleski;Dobrodzieñ;
47-100;opolskie;strzelecki;Strzelce Opolskie;
47-113;opolskie;strzelecki;Kolonowskie;
47-120;opolskie;strzelecki;Zawadzkie;
47-126;opolskie;strzelecki;Zawadzkie;
47-133;opolskie;strzelecki;Jemielnica;
47-134;opolskie;strzelecki;Kolonowskie;
47-143;opolskie;strzelecki;Ujazd;
47-150;opolskie;strzelecki;Leœnica;
47-154;opolskie;strzelecki;Leœnica;
47-161;opolskie;strzelecki;Strzelce Opolskie;
47-171;opolskie;strzelecki;Strzelce Opolskie;
47-175;opolskie;strzelecki;Strzelce Opolskie;
47-180;opolskie;strzelecki;Izbicko;
47-200;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-205;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-206;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-208;opolskie;kêdzierzyñsko-kozielski;Reñska Wieœ;
47-214;opolskie;kêdzierzyñsko-kozielski;Reñska Wieœ;
47-220;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-223;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-224;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-225;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-230;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-232;opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;
47-240;opolskie;kêdzierzyñsko-kozielski;Bierawa;
47-244;opolskie;kêdzierzyñsko-kozielski;Bierawa;
47-246;opolskie;kêdzierzyñsko-kozielski;Bierawa;
47-253;opolskie;kêdzierzyñsko-kozielski;Cisek;
47-260;opolskie;kêdzierzyñsko-kozielski;Polska Cerekiew;
47-263;opolskie;kêdzierzyñsko-kozielski;Cisek;
47-270;opolskie;kêdzierzyñsko-kozielski;Paw³owiczki;
47-280;opolskie;kêdzierzyñsko-kozielski;Paw³owiczki;
47-300;opolskie;krapkowicki;Krapkowice;
47-316;opolskie;krapkowicki;Gogolin;
47-320;opolskie;krapkowicki;Gogolin;
47-325;opolskie;krapkowicki;Gogolin;
47-330;opolskie;krapkowicki;Zdzieszowice;
47-341;opolskie;krapkowicki;Krapkowice;
47-344;opolskie;krapkowicki;Walce;
47-351;opolskie;krapkowicki;Krapkowice;
47-364;opolskie;krapkowicki;Strzeleczki;
47-370;opolskie;krapkowicki;Strzeleczki;
47-400;œl¹skie;raciborski;Racibórz;
47-411;œl¹skie;raciborski;Rudnik;
47-415;œl¹skie;raciborski;Rudnik;
47-417;œl¹skie;raciborski;Rudnik;
47-420;œl¹skie;raciborski;KuŸnia Raciborska;
47-430;œl¹skie;raciborski;KuŸnia Raciborska;
47-435;œl¹skie;rybnicki;Lyski;
47-440;œl¹skie;raciborski;Nêdza;
47-442;œl¹skie;raciborski;Nêdza;
47-450;œl¹skie;raciborski;Krzy¿anowice;
47-451;œl¹skie;raciborski;Krzy¿anowice;
47-460;œl¹skie;raciborski;Krzy¿anowice;
47-470;œl¹skie;raciborski;Krzanowice;
47-475;œl¹skie;raciborski;Pietrowice Wielkie;
47-480;œl¹skie;raciborski;Pietrowice Wielkie;
47-491;œl¹skie;raciborski;Pietrowice Wielkie;
47-494;œl¹skie;raciborski;Pietrowice Wielkie;
48-100;opolskie;g³ubczycki;G³ubczyce;
48-118;opolskie;g³ubczycki;G³ubczyce;
48-120;opolskie;g³ubczycki;Baborów;
48-130;opolskie;g³ubczycki;Kietrz;
48-133;opolskie;g³ubczycki;Baborów;
48-140;opolskie;g³ubczycki;Branice;
48-145;opolskie;g³ubczycki;G³ubczyce;
48-155;opolskie;g³ubczycki;G³ubczyce;
48-200;opolskie;prudnicki;Prudnik;
48-210;opolskie;prudnicki;Bia³a;
48-220;opolskie;prudnicki;Bia³a;
48-231;opolskie;prudnicki;Lubrza;
48-250;opolskie;prudnicki;G³ogówek;
48-267;opolskie;nyski;G³ucho³azy;
48-300;opolskie;nyski;Nysa;
48-303;opolskie;nyski;Nysa;
48-314;opolskie;nyski;Pakos³awice;
48-315;opolskie;nyski;£ambinowice;
48-316;opolskie;nyski;£ambinowice;
48-317;opolskie;nyski;Korfantów;
48-320;opolskie;nyski;Skoroszyce;
48-321;opolskie;nyski;Nysa;
48-325;opolskie;nyski;Korfantów;
48-330;opolskie;nyski;G³ucho³azy;
48-340;opolskie;nyski;G³ucho³azy;
48-355;opolskie;nyski;G³ucho³azy;
48-364;opolskie;nyski;Otmuchów;
48-370;opolskie;nyski;Paczków;
48-385;opolskie;nyski;Otmuchów;
48-387;opolskie;nyski;Kamiennik;
48-388;opolskie;nyski;Kamiennik;
49-100;opolskie;opolski;Niemodlin;
49-120;opolskie;opolski;D¹browa;
49-125;opolskie;brzeski;Lewin Brzeski;
49-130;opolskie;opolski;Tu³owice;
49-156;opolskie;opolski;Niemodlin;
49-200;opolskie;brzeski;Grodków;
49-300;opolskie;brzeski;Brzeg;
49-304;opolskie;brzeski;Brzeg;
49-305;opolskie;brzeski;Brzeg;
49-306;opolskie;brzeski;Brzeg;
49-312;opolskie;brzeski;Lubsza;
49-313;opolskie;brzeski;Lubsza;
49-314;opolskie;brzeski;Lubsza;
49-315;opolskie;brzeski;Lubsza;
49-318;opolskie;brzeski;Skarbimierz;
49-330;opolskie;brzeski;Lewin Brzeski;
49-332;opolskie;brzeski;Olszanka;
49-340;opolskie;brzeski;Lewin Brzeski;
49-345;opolskie;brzeski;Lewin Brzeski;
49-351;opolskie;brzeski;Olszanka;
49-353;opolskie;brzeski;Skarbimierz;
50-001;dolnoœl¹skie;Wroc³aw;Wroc³aw;ca³e miasto jako 1 kszta³t
50-458;dolnoœl¹skie;wroc³awski;Siechnice;
51-217;dolnoœl¹skie;wroc³awski;D³ugo³êka;
51-361;dolnoœl¹skie;wroc³awski;D³ugo³êka;
52-116;dolnoœl¹skie;wroc³awski;Siechnice;
52-200;dolnoœl¹skie;wroc³awski;¯órawina;
55-002;dolnoœl¹skie;wroc³awski;Czernica;
55-003;dolnoœl¹skie;wroc³awski;Czernica;
55-010;dolnoœl¹skie;wroc³awski;Siechnice;
55-011;dolnoœl¹skie;wroc³awski;Siechnice;
55-020;dolnoœl¹skie;wroc³awski;¯órawina;
55-040;dolnoœl¹skie;wroc³awski;Kobierzyce;
55-050;dolnoœl¹skie;wroc³awski;Sobótka;
55-065;dolnoœl¹skie;wroc³awski;Jordanów Œl¹ski;
55-080;dolnoœl¹skie;wroc³awski;K¹ty Wroc³awskie;
55-081;dolnoœl¹skie;wroc³awski;Mietków;
55-093;dolnoœl¹skie;wroc³awski;D³ugo³êka;
55-095;dolnoœl¹skie;wroc³awski;D³ugo³êka;
55-100;dolnoœl¹skie;trzebnicki;Trzebnica;
55-106;dolnoœl¹skie;trzebnicki;Zawonia;
55-110;dolnoœl¹skie;trzebnicki;Prusice;
55-114;dolnoœl¹skie;trzebnicki;Wisznia Ma³a;
55-120;dolnoœl¹skie;trzebnicki;Oborniki Œl¹skie;
55-140;dolnoœl¹skie;trzebnicki;¯migród;
55-200;dolnoœl¹skie;o³awski;O³awa;
55-216;dolnoœl¹skie;o³awski;Domaniów;
55-220;dolnoœl¹skie;o³awski;Jelcz-Laskowice;
55-300;dolnoœl¹skie;œredzki;Œroda Œl¹ska;
55-311;dolnoœl¹skie;œredzki;Kostom³oty;
55-320;dolnoœl¹skie;œredzki;Malczyce;
55-330;dolnoœl¹skie;œredzki;Miêkinia;
55-340;dolnoœl¹skie;œredzki;Udanin;
56-100;dolnoœl¹skie;wo³owski;Wo³ów;
56-120;dolnoœl¹skie;wo³owski;Brzeg Dolny;
56-160;dolnoœl¹skie;wo³owski;Wiñsko;
56-200;dolnoœl¹skie;górowski;Góra;
56-209;dolnoœl¹skie;górowski;Jemielno;
56-210;dolnoœl¹skie;górowski;W¹sosz;
56-215;dolnoœl¹skie;górowski;Niechlów;
56-300;dolnoœl¹skie;milicki;Milicz;
56-320;dolnoœl¹skie;milicki;Kroœnice;
56-321;dolnoœl¹skie;milicki;Kroœnice;
56-330;dolnoœl¹skie;milicki;Cieszków;
56-400;dolnoœl¹skie;oleœnicki;Oleœnica;
56-410;dolnoœl¹skie;oleœnicki;Dobroszyce;
56-416;dolnoœl¹skie;oleœnicki;Twardogóra;
56-420;dolnoœl¹skie;oleœnicki;Bierutów;
56-500;dolnoœl¹skie;oleœnicki;Syców;
56-504;dolnoœl¹skie;oleœnicki;Dziadowa K³oda;
56-513;dolnoœl¹skie;oleœnicki;Miêdzybórz;
57-100;dolnoœl¹skie;strzeliñski;Strzelin;
57-120;dolnoœl¹skie;strzeliñski;Wi¹zów;
57-130;dolnoœl¹skie;strzeliñski;Przeworno;
57-150;dolnoœl¹skie;strzeliñski;Kondratowice;
57-160;dolnoœl¹skie;strzeliñski;Borów;
57-200;dolnoœl¹skie;z¹bkowicki;Z¹bkowice Œl¹skie;
57-206;dolnoœl¹skie;z¹bkowicki;Z¹bkowice Œl¹skie;
57-208;dolnoœl¹skie;z¹bkowicki;Stoszowice;
57-210;dolnoœl¹skie;z¹bkowicki;Ziêbice;
57-211;dolnoœl¹skie;z¹bkowicki;Ciep³owody;
57-212;dolnoœl¹skie;z¹bkowicki;Z¹bkowice Œl¹skie;
57-213;dolnoœl¹skie;z¹bkowicki;Stoszowice;
57-214;dolnoœl¹skie;z¹bkowicki;Stoszowice;
57-215;dolnoœl¹skie;z¹bkowicki;Stoszowice;
57-220;dolnoœl¹skie;z¹bkowicki;Ziêbice;
57-221;dolnoœl¹skie;z¹bkowicki;Z¹bkowice Œl¹skie;
57-222;dolnoœl¹skie;z¹bkowicki;Ziêbice;
57-223;dolnoœl¹skie;z¹bkowicki;Ziêbice;
57-224;dolnoœl¹skie;z¹bkowicki;Ziêbice;
57-230;dolnoœl¹skie;z¹bkowicki;Kamieniec Z¹bkowicki;
57-240;dolnoœl¹skie;z¹bkowicki;Kamieniec Z¹bkowicki;
57-241;dolnoœl¹skie;z¹bkowicki;Kamieniec Z¹bkowicki;
57-242;dolnoœl¹skie;z¹bkowicki;Kamieniec Z¹bkowicki;
57-250;dolnoœl¹skie;z¹bkowicki;Z³oty Stok;
57-251;dolnoœl¹skie;z¹bkowicki;Z³oty Stok;
57-255;dolnoœl¹skie;z¹bkowicki;Bardo;
57-256;dolnoœl¹skie;z¹bkowicki;Bardo;
57-257;dolnoœl¹skie;z¹bkowicki;Bardo;
57-300;dolnoœl¹skie;k³odzki;K³odzko;
57-312;dolnoœl¹skie;k³odzki;K³odzko;
57-313;dolnoœl¹skie;k³odzki;K³odzko;
57-314;dolnoœl¹skie;k³odzki;K³odzko;
57-315;dolnoœl¹skie;k³odzki;K³odzko;
57-320;dolnoœl¹skie;k³odzki;Polanica-Zdrój;
57-322;dolnoœl¹skie;k³odzki;Szczytna;
57-330;dolnoœl¹skie;k³odzki;Szczytna;
57-340;dolnoœl¹skie;k³odzki;Duszniki-Zdrój;
57-343;dolnoœl¹skie;k³odzki;Lewin K³odzki;
57-350;dolnoœl¹skie;k³odzki;Kudowa-Zdrój;
57-360;dolnoœl¹skie;k³odzki;K³odzko;
57-361;dolnoœl¹skie;k³odzki;K³odzko;
57-362;dolnoœl¹skie;k³odzki;K³odzko;
57-400;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-401;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-402;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-408;dolnoœl¹skie;k³odzki;Radków;
57-409;dolnoœl¹skie;k³odzki;Radków;
57-410;dolnoœl¹skie;k³odzki;Radków;
57-411;dolnoœl¹skie;k³odzki;Radków;
57-420;dolnoœl¹skie;k³odzki;Radków;
57-430;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-431;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-432;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-441;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-442;dolnoœl¹skie;k³odzki;K³odzko;
57-450;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-451;dolnoœl¹skie;k³odzki;Nowa Ruda;
57-500;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-511;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-512;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-513;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-514;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-515;dolnoœl¹skie;k³odzki;Miêdzylesie;
57-516;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-517;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-520;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-521;dolnoœl¹skie;k³odzki;Bystrzyca K³odzka;
57-522;dolnoœl¹skie;k³odzki;Miêdzylesie;
57-530;dolnoœl¹skie;k³odzki;Miêdzylesie;
57-540;dolnoœl¹skie;k³odzki;L¹dek-Zdrój;
57-541;dolnoœl¹skie;k³odzki;L¹dek-Zdrój;
57-550;dolnoœl¹skie;k³odzki;Stronie Œl¹skie;
58-100;dolnoœl¹skie;œwidnicki;Œwidnica;
58-105;dolnoœl¹skie;œwidnicki;Œwidnica;
58-111;dolnoœl¹skie;œwidnicki;Marcinowice;
58-112;dolnoœl¹skie;œwidnicki;Œwidnica;
58-113;dolnoœl¹skie;œwidnicki;Œwidnica;
58-114;dolnoœl¹skie;œwidnicki;Œwidnica;
58-115;dolnoœl¹skie;œwidnicki;Jaworzyna Œl¹ska;
58-116;dolnoœl¹skie;dzier¿oniowski;Dzier¿oniów;
58-120;dolnoœl¹skie;œwidnicki;Strzegom;
58-121;dolnoœl¹skie;œwidnicki;¯arów;
58-123;dolnoœl¹skie;œwidnicki;Marcinowice;
58-124;dolnoœl¹skie;œwidnicki;Marcinowice;
58-125;dolnoœl¹skie;œwidnicki;Œwidnica;
58-130;dolnoœl¹skie;œwidnicki;¯arów;
58-140;dolnoœl¹skie;œwidnicki;Jaworzyna Œl¹ska;
58-141;dolnoœl¹skie;œwidnicki;Strzegom;
58-150;dolnoœl¹skie;œwidnicki;Strzegom;
58-152;dolnoœl¹skie;œwidnicki;Strzegom;
58-160;dolnoœl¹skie;œwidnicki;Œwiebodzice;
58-170;dolnoœl¹skie;œwidnicki;Dobromierz;
58-172;dolnoœl¹skie;œwidnicki;Dobromierz;
58-173;dolnoœl¹skie;œwidnicki;Dobromierz;
58-200;dolnoœl¹skie;dzier¿oniowski;Dzier¿oniów;
58-207;dolnoœl¹skie;dzier¿oniowski;Dzier¿oniów;
58-210;dolnoœl¹skie;dzier¿oniowski;£agiewniki;
58-211;dolnoœl¹skie;dzier¿oniowski;Dzier¿oniów;
58-212;dolnoœl¹skie;dzier¿oniowski;£agiewniki;
58-214;dolnoœl¹skie;dzier¿oniowski;£agiewniki;
58-217;dolnoœl¹skie;dzier¿oniowski;Dzier¿oniów;
58-230;dolnoœl¹skie;dzier¿oniowski;Niemcza;
58-231;dolnoœl¹skie;dzier¿oniowski;Niemcza;
58-240;dolnoœl¹skie;dzier¿oniowski;Pi³awa Górna;
58-241;dolnoœl¹skie;dzier¿oniowski;Dzier¿oniów;
58-250;dolnoœl¹skie;dzier¿oniowski;Pieszyce;
58-260;dolnoœl¹skie;dzier¿oniowski;Bielawa;
58-262;dolnoœl¹skie;dzier¿oniowski;Dzier¿oniów;
58-300;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-301;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-302;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-303;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-304;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-305;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-306;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-307;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-308;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-309;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-310;dolnoœl¹skie;wa³brzyski;Szczawno-Zdrój;
58-311;dolnoœl¹skie;wa³brzyski;Stare Bogaczowice;
58-312;dolnoœl¹skie;wa³brzyski;Stare Bogaczowice;
58-316;dolnoœl¹skie;Wa³brzych;Wa³brzych;
58-320;dolnoœl¹skie;wa³brzyski;Walim;
58-321;dolnoœl¹skie;wa³brzyski;Walim;
58-330;dolnoœl¹skie;wa³brzyski;Jedlina-Zdrój;
58-340;dolnoœl¹skie;wa³brzyski;G³uszyca;
58-350;dolnoœl¹skie;wa³brzyski;Mieroszów;
58-351;dolnoœl¹skie;wa³brzyski;Mieroszów;
58-352;dolnoœl¹skie;wa³brzyski;Mieroszów;
58-370;dolnoœl¹skie;wa³brzyski;Boguszów-Gorce;
58-371;dolnoœl¹skie;wa³brzyski;Boguszów-Gorce;
58-372;dolnoœl¹skie;wa³brzyski;Boguszów-Gorce;
58-373;dolnoœl¹skie;wa³brzyski;Czarny Bór;
58-379;dolnoœl¹skie;wa³brzyski;Czarny Bór;
58-400;dolnoœl¹skie;kamiennogórski;Kamienna Góra;
58-405;dolnoœl¹skie;kamiennogórski;Kamienna Góra;
58-407;dolnoœl¹skie;kamiennogórski;Lubawka;
58-410;dolnoœl¹skie;kamiennogórski;Marciszów;
58-411;dolnoœl¹skie;kamiennogórski;Marciszów;
58-420;dolnoœl¹skie;kamiennogórski;Lubawka;
58-422;dolnoœl¹skie;kamiennogórski;Lubawka;
58-424;dolnoœl¹skie;kamiennogórski;Kamienna Góra;
58-425;dolnoœl¹skie;kamiennogórski;Kamienna Góra;
58-500;dolnoœl¹skie;Jelenia Góra;Jelenia Góra;
58-506;dolnoœl¹skie;Jelenia Góra;Jelenia Góra;
58-512;dolnoœl¹skie;jeleniogórski;Stara Kamienica;
58-513;dolnoœl¹skie;jeleniogórski;Je¿ów Sudecki;
58-520;dolnoœl¹skie;jeleniogórski;Janowice Wielkie;
58-521;dolnoœl¹skie;jeleniogórski;Je¿ów Sudecki;
58-522;dolnoœl¹skie;jeleniogórski;Je¿ów Sudecki;
58-530;dolnoœl¹skie;jeleniogórski;Kowary;
58-531;dolnoœl¹skie;jeleniogórski;Mys³akowice;
58-532;dolnoœl¹skie;jeleniogórski;Mys³akowice;
58-533;dolnoœl¹skie;jeleniogórski;Mys³akowice;
58-534;dolnoœl¹skie;jeleniogórski;Podgórzyn;
58-535;dolnoœl¹skie;jeleniogórski;Podgórzyn;
58-540;dolnoœl¹skie;jeleniogórski;Karpacz;
58-560;dolnoœl¹skie;Jelenia Góra;Jelenia Góra;
58-562;dolnoœl¹skie;jeleniogórski;Podgórzyn;
58-563;dolnoœl¹skie;jeleniogórski;Podgórzyn;
58-564;dolnoœl¹skie;jeleniogórski;Podgórzyn;
58-570;dolnoœl¹skie;Jelenia Góra;Jelenia Góra;
58-580;dolnoœl¹skie;jeleniogórski;Szklarska Porêba;
59-100;dolnoœl¹skie;polkowicki;Polkowice;
59-101;dolnoœl¹skie;polkowicki;Polkowice;
59-140;dolnoœl¹skie;polkowicki;Chocianów;
59-145;dolnoœl¹skie;polkowicki;Chocianów;
59-147;dolnoœl¹skie;polkowicki;Chocianów;
59-150;dolnoœl¹skie;polkowicki;Grêbocice;
59-160;dolnoœl¹skie;polkowicki;Radwanice;
59-170;dolnoœl¹skie;polkowicki;Przemków;
59-180;dolnoœl¹skie;polkowicki;Gaworzyce;
59-216;dolnoœl¹skie;legnicki;Kunice;
59-220;dolnoœl¹skie;Legnica;Legnica;
59-222;dolnoœl¹skie;legnicki;Mi³kowice;
59-223;dolnoœl¹skie;legnicki;Krotoszyce;
59-225;dolnoœl¹skie;legnicki;Chojnów;
59-226;dolnoœl¹skie;legnicki;Chojnów;
59-227;dolnoœl¹skie;legnicki;Chojnów;
59-230;dolnoœl¹skie;legnicki;Prochowice;
59-241;dolnoœl¹skie;legnicki;Legnickie Pole;
59-243;dolnoœl¹skie;legnicki;Ruja;
59-300;dolnoœl¹skie;lubiñski;Lubin;
59-305;dolnoœl¹skie;lubiñski;Rudna;
59-307;dolnoœl¹skie;lubiñski;Lubin;
59-311;dolnoœl¹skie;lubiñski;Lubin;
59-323;dolnoœl¹skie;lubiñski;Lubin;
59-330;dolnoœl¹skie;lubiñski;Œcinawa;
59-335;dolnoœl¹skie;lubiñski;Lubin;
59-340;dolnoœl¹skie;lubiñski;Rudna;
59-400;dolnoœl¹skie;jaworski;Jawor;
59-406;dolnoœl¹skie;jaworski;Mœciwojów;
59-407;dolnoœl¹skie;jaworski;Mœciwojów;
59-411;dolnoœl¹skie;jaworski;Paszowice;
59-420;dolnoœl¹skie;jaworski;Bolków;
59-421;dolnoœl¹skie;jaworski;Bolków;
59-424;dolnoœl¹skie;jaworski;Mêcinka;
59-430;dolnoœl¹skie;jaworski;W¹dro¿e Wielkie;
59-431;dolnoœl¹skie;jaworski;W¹dro¿e Wielkie;
59-500;dolnoœl¹skie;z³otoryjski;Z³otoryja;
59-511;dolnoœl¹skie;z³otoryjski;Z³otoryja;
59-512;dolnoœl¹skie;z³otoryjski;Zagrodno;
59-513;dolnoœl¹skie;z³otoryjski;Z³otoryja;
59-516;dolnoœl¹skie;z³otoryjski;Zagrodno;
59-517;dolnoœl¹skie;z³otoryjski;Zagrodno;
59-524;dolnoœl¹skie;z³otoryjski;Pielgrzymka;
59-525;dolnoœl¹skie;z³otoryjski;Pielgrzymka;
59-540;dolnoœl¹skie;z³otoryjski;Œwierzawa;
59-550;dolnoœl¹skie;z³otoryjski;Wojcieszów;
59-600;dolnoœl¹skie;lwówecki;Lwówek Œl¹ski;
59-610;dolnoœl¹skie;lwówecki;Wleñ;
59-620;dolnoœl¹skie;lwówecki;Gryfów Œl¹ski;
59-623;dolnoœl¹skie;lwówecki;Lubomierz;
59-630;dolnoœl¹skie;lwówecki;Mirsk;
59-700;dolnoœl¹skie;boles³awiecki;Boles³awiec;
59-706;dolnoœl¹skie;boles³awiecki;Gromadka;
59-707;dolnoœl¹skie;boles³awiecki;Boles³awiec;
59-708;dolnoœl¹skie;boles³awiecki;Warta Boles³awiecka;
59-720;dolnoœl¹skie;boles³awiecki;Warta Boles³awiecka;
59-723;dolnoœl¹skie;boles³awiecki;Osiecznica;
59-724;dolnoœl¹skie;boles³awiecki;Osiecznica;
59-725;dolnoœl¹skie;boles³awiecki;Osiecznica;
59-726;dolnoœl¹skie;boles³awiecki;Osiecznica;
59-730;dolnoœl¹skie;boles³awiecki;Nowogrodziec;
59-800;dolnoœl¹skie;lubañski;Lubañ;
59-811;dolnoœl¹skie;lubañski;Olszyna;
59-814;dolnoœl¹skie;lubañski;Leœna;
59-816;dolnoœl¹skie;lubañski;Platerówka;
59-818;dolnoœl¹skie;lubañski;Siekierczyn;
59-820;dolnoœl¹skie;lubañski;Leœna;
59-830;dolnoœl¹skie;lubañski;Olszyna;
59-850;dolnoœl¹skie;lubañski;Œwieradów-Zdrój;
59-900;dolnoœl¹skie;zgorzelecki;Zgorzelec;
59-914;dolnoœl¹skie;zgorzelecki;Zgorzelec;
59-915;dolnoœl¹skie;zgorzelecki;Bogatynia;
59-916;dolnoœl¹skie;zgorzelecki;Bogatynia;
59-920;dolnoœl¹skie;zgorzelecki;Bogatynia;
59-921;dolnoœl¹skie;zgorzelecki;Bogatynia;
59-930;dolnoœl¹skie;zgorzelecki;Pieñsk;
59-940;dolnoœl¹skie;zgorzelecki;Wêgliniec;
59-941;dolnoœl¹skie;zgorzelecki;Wêgliniec;
59-942;dolnoœl¹skie;zgorzelecki;Wêgliniec;
59-950;dolnoœl¹skie;zgorzelecki;Wêgliniec;
59-970;dolnoœl¹skie;zgorzelecki;Zawidów;
59-975;dolnoœl¹skie;zgorzelecki;Sulików;
60-001;wielkopolskie;Poznañ;Poznañ;ca³e miasto jako 1 kszta³t
61-160;wielkopolskie;poznañski;Mosina;
62-001;wielkopolskie;poznañski;Suchy Las;
62-002;wielkopolskie;poznañski;Suchy Las;
62-003;wielkopolskie;poznañski;Suchy Las;
62-004;wielkopolskie;poznañski;Czerwonak;
62-005;wielkopolskie;poznañski;Czerwonak;
62-006;wielkopolskie;poznañski;Swarzêdz;
62-007;wielkopolskie;poznañski;Pobiedziska;
62-010;wielkopolskie;poznañski;Pobiedziska;
62-020;wielkopolskie;poznañski;Swarzêdz;
62-021;wielkopolskie;poznañski;Swarzêdz;
62-022;wielkopolskie;poznañski;Mosina;
62-023;wielkopolskie;poznañski;Kórnik;
62-024;wielkopolskie;poznañski;Kostrzyn;
62-025;wielkopolskie;poznañski;Kostrzyn;
62-028;wielkopolskie;poznañski;Czerwonak;
62-030;wielkopolskie;poznañski;Luboñ;
62-040;wielkopolskie;poznañski;Puszczykowo;
62-045;wielkopolskie;szamotulski;Pniewy;
62-050;wielkopolskie;poznañski;Mosina;
62-051;wielkopolskie;poznañski;Komorniki;
62-052;wielkopolskie;poznañski;Komorniki;
62-053;wielkopolskie;poznañski;Mosina;
62-060;wielkopolskie;poznañski;Stêszew;
62-061;wielkopolskie;poznañski;Mosina;
62-062;wielkopolskie;poznañski;Stêszew;
